Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-09-24 16:45:00+00:00,113755.84375,113775.875,113705.1640625,113705.1640625,68116480
2025-09-24 17:00:00+00:00,113921.9296875,113921.9296875,113678.5390625,113773.8515625,665866240
2025-09-24 17:15:00+00:00,113804.8828125,113912.0859375,113772.5546875,113912.0859375,732123136
2025-09-24 17:30:00+00:00,113942.390625,113981.8984375,113819.8828125,113819.8828125,682659840
2025-09-24 17:45:00+00:00,113806.8671875,113916.59375,113741.0,113916.59375,0
2025-09-24 18:00:00+00:00,113621.4453125,113852.5546875,113621.4453125,113797.8359375,30285824
2025-09-24 18:15:00+00:00,113723.09375,113723.09375,113597.125,113655.71875,4706304
2025-09-24 18:30:00+00:00,113679.8828125,113737.609375,113631.0390625,113729.40625,794161152
2025-09-24 18:45:00+00:00,113678.328125,113701.8203125,113589.640625,113694.375,0
2025-09-24 19:00:00+00:00,113687.0859375,113722.1640625,113608.2578125,113681.4296875,0
2025-09-24 19:15:00+00:00,113596.921875,113661.953125,113596.921875,113649.3515625,0
2025-09-24 19:30:00+00:00,113397.7265625,113572.6328125,113373.046875,113572.6328125,100945920
2025-09-24 19:45:00+00:00,113483.6640625,113527.8359375,113340.6640625,113385.0703125,56029184
2025-09-24 20:00:00+00:00,113554.71875,113571.7109375,113475.46875,113494.3046875,14065664
2025-09-24 20:15:00+00:00,113607.65625,113621.515625,113561.7890625,113563.203125,621367296
2025-09-24 20:30:00+00:00,113559.765625,113585.0234375,113489.0546875,113585.0234375,0
2025-09-24 20:45:00+00:00,113598.1484375,113657.953125,113574.3125,113574.3125,724881408
2025-09-24 21:00:00+00:00,113608.1484375,113608.6796875,113532.1015625,113587.90625,98734080
2025-09-24 21:15:00+00:00,113610.6328125,113644.4140625,113575.3203125,113644.4140625,67354624
2025-09-24 21:30:00+00:00,113526.96875,113620.7421875,113526.96875,113613.75,645640192
2025-09-24 21:45:00+00:00,113366.171875,113580.6640625,113366.171875,113486.3984375,259989504
2025-09-24 22:00:00+00:00,113677.375,113681.3984375,113383.7109375,113383.7109375,162320384
2025-09-24 22:15:00+00:00,113532.4609375,113686.2421875,113528.5,113678.078125,910422016
2025-09-24 22:30:00+00:00,113460.5703125,113538.3203125,113431.7421875,113538.3203125,75956224
2025-09-24 22:45:00+00:00,113373.125,113424.265625,113317.515625,113424.265625,77324288
2025-09-24 23:00:00+00:00,113398.84375,113447.015625,113373.46875,113373.46875,697782272
