time,open,high,low,close,volume,local_time,sentiment
2025-10-16 20:30:00+00:00,107973.06,108041.67,107427.0,107796.37,369.64308,2025-10-16T20:30:00+00:00,0.16666666666666666
2025-10-16 20:45:00+00:00,107796.36,108000.0,107556.01,107838.01,197.17729,2025-10-16T20:45:00+00:00,0.16666666666666666
2025-10-16 21:00:00+00:00,107838.0,108136.15,107592.0,108130.97,182.5292,2025-10-16T21:00:00+00:00,0.16666666666666666
2025-10-16 21:15:00+00:00,108130.98,108210.0,107935.77,108107.99,141.62756,2025-10-16T21:15:00+00:00,0.16666666666666666
2025-10-16 21:30:00+00:00,108107.99,108366.0,108107.99,108283.63,105.68881,2025-10-16T21:30:00+00:00,0.16666666666666666
2025-10-16 21:45:00+00:00,108283.63,108463.31,108217.74,108443.7,60.996249999999996,2025-10-16T21:45:00+00:00,0.16666666666666666
2025-10-16 22:00:00+00:00,108443.71,108500.0,108095.0,108095.01,121.48515,2025-10-16T22:00:00+00:00,0.16666666666666666
2025-10-16 22:15:00+00:00,108095.01,108159.88,107965.88,107970.39,120.2992,2025-10-16T22:15:00+00:00,0.0
2025-10-16 22:30:00+00:00,107970.38,108064.55,107885.23,107933.1,100.28341999999999,2025-10-16T22:30:00+00:00,0.0
2025-10-16 22:45:00+00:00,107933.11,107998.0,107783.76,107798.85,109.04568,2025-10-16T22:45:00+00:00,0.0
2025-10-16 23:00:00+00:00,107798.85,108017.62,107736.56,107982.21,92.55253,2025-10-16T23:00:00+00:00,0.0
2025-10-16 23:15:00+00:00,107982.21,108420.73,107982.2,108313.68,130.56733,2025-10-16T23:15:00+00:00,0.0
2025-10-16 23:30:00+00:00,108313.68,108313.68,107978.14,108027.48,88.33321000000001,2025-10-16T23:30:00+00:00,0.0
2025-10-16 23:45:00+00:00,108027.49,108205.08,108014.96,108194.28,59.955349999999996,2025-10-16T23:45:00+00:00,0.0
2025-10-17 00:00:00+00:00,108194.27,108276.03,107934.4,108243.47,192.90275,2025-10-17T00:00:00+00:00,0.0
2025-10-17 00:15:00+00:00,108243.47,108500.0,108204.56,108499.99,106.67345,2025-10-17T00:15:00+00:00,0.0
2025-10-17 00:30:00+00:00,108499.99,108849.19,108312.71,108673.72,236.02558,2025-10-17T00:30:00+00:00,0.0
2025-10-17 00:45:00+00:00,108673.71,108800.0,108547.33,108800.0,121.43444000000001,2025-10-17T00:45:00+00:00,0.0
2025-10-17 01:00:00+00:00,108799.99,109115.08,108757.39,108980.45,234.34371,2025-10-17T01:00:00+00:00,0.0
2025-10-17 01:15:00+00:00,108980.45,109062.89,108750.0,108824.04,159.36954,2025-10-17T01:15:00+00:00,0.0
2025-10-17 01:30:00+00:00,108824.03,108908.24,108646.1,108693.19,114.94019,2025-10-17T01:30:00+00:00,0.0
2025-10-17 01:45:00+00:00,108693.18,108864.07,108506.79,108839.84,154.57022,2025-10-17T01:45:00+00:00,0.0
2025-10-17 02:00:00+00:00,108839.84,108844.37,108428.57,108502.8,151.03785,2025-10-17T02:00:00+00:00,0.0
2025-10-17 02:15:00+00:00,108502.8,108580.63,108390.21,108425.56,99.13241,2025-10-17T02:15:00+00:00,0.1
2025-10-17 02:30:00+00:00,108425.56,108804.72,108399.12,108732.85,140.81326,2025-10-17T02:30:00+00:00,0.1
2025-10-17 02:45:00+00:00,108732.85,109082.8,108728.48,108972.97,168.72799,2025-10-17T02:45:00+00:00,0.1
